analysis_definition,signature_id,signature_name,signature_family,time_window,internal_time_window,cohort_n,patient_n,cohorts,pooled_delta_z,pooled_se_hk,ci95_lower_hk,ci95_upper_hk,tau2_reml,I2_percent,prediction_lower,prediction_upper,direction_consistency,direction,inference_status,cohorts_excluded_from_primary_for_this_signature_window,primary_eligibility_preserved
FIXED_THREE_LANDMARK_COHORTS,SIG001,Sepsis MetaScore,diagnostic,T24,T1,3,79,GSE54514;GSE57065;GSE95233,-0.4023080310806767,0.029769107839680717,-0.5303941641876977,-0.27422189797365565,0.0,0.0,-0.7805604101125856,-0.02405565204876775,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG001,Sepsis MetaScore,diagnostic,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.894082625909292,0.10541037214758113,-1.3476268513683682,-0.44053840045021586,0.0009889235724778042,0.0,-2.291780748245425,0.5036154964268407,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG002,SeptiCyte LAB,diagnostic,T24,T1,3,79,GSE54514;GSE57065;GSE95233,-0.15649750202801538,0.006605159234285745,-0.18491720843749263,-0.12807779561853813,0.0,0.0,-0.2404240075755851,-0.07257099648044565,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,GSE54514,False
FIXED_THREE_LANDMARK_COHORTS,SIG002,SeptiCyte LAB,diagnostic,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.5879693117963614,0.2501365493121423,-1.664220018491024,0.48828139489830136,0.13907217538815,74.40408120013612,-6.293613671318616,5.117675047725894,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,GSE54514,False
FIXED_THREE_LANDMARK_COHORTS,SIG003,FAIM3:PLAC8 ratio,diagnostic,T24,T1,3,79,GSE54514;GSE57065;GSE95233,-0.29886167403332364,0.06998793992731873,-0.5999954748074112,0.0022721267407639356,0.0,0.0,-1.188142767830946,0.5904194197642986,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,GSE54514,False
FIXED_THREE_LANDMARK_COHORTS,SIG003,FAIM3:PLAC8 ratio,diagnostic,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.7583077153612612,0.2708783772507032,-1.9238033046546605,0.4071878739321382,0.16402373211857427,74.69171832064329,-6.9492268826141075,5.432611451891585,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,GSE54514,False
FIXED_THREE_LANDMARK_COHORTS,SIG004,sNIP,diagnostic,T24,T1,3,79,GSE54514;GSE57065;GSE95233,0.0018267589394800855,0.1396025572274979,-0.5988345649879756,0.6024880828669357,0.012283678240813133,28.307081904417906,-2.263036048285435,2.266689566164395,0.3333333333333333,increase,Formal REML random-effects point estimate with standard HK interval,GSE54514,False
FIXED_THREE_LANDMARK_COHORTS,SIG004,sNIP,diagnostic,T48,T2,3,85,GSE54514;GSE57065;GSE95233,0.4870566784902514,0.08791919895713492,0.10877089710463667,0.8653424598758661,0.0,0.0,-0.630062663722212,1.604176020702715,1.0,increase,Formal REML random-effects point estimate with standard HK interval,GSE54514,False
FIXED_THREE_LANDMARK_COHORTS,SIG022,Bacterial/Viral MetaScore,secondary,T24,T1,3,79,GSE54514;GSE57065;GSE95233,-0.09115187678212773,0.12273866656344944,-0.619253735510618,0.43694998194636253,0.023239815093742115,56.04953637008991,-2.5779543371289924,2.395650583564737,0.6666666666666666,decrease,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG022,Bacterial/Viral MetaScore,secondary,T48,T2,3,85,GSE54514;GSE57065;GSE95233,0.07573808453303543,0.029383846962680184,-0.05069040480991416,0.20216657387598502,0.0,0.0,-0.29761909091876737,0.44909525998483824,1.0,increase,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG023,Herberg Disease Risk Score,secondary,T24,T1,3,79,GSE54514;GSE57065;GSE95233,0.07852135477159111,0.25631100258844963,-1.0242958801667565,1.1813385897099387,0.16782697203686173,85.65328668707144,-6.061643486638515,6.2186861961816975,0.6666666666666666,increase,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG023,Herberg Disease Risk Score,secondary,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.0069857263458612765,0.10407022606274292,-0.45476376859481665,0.44079231590309415,0.01115396229858667,28.532147730507567,-1.8909596123093673,1.8769881596176448,0.6666666666666666,decrease,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG033,Lin seven-gene mortality score,secondary,T24,T1,3,79,GSE54514;GSE57065;GSE95233,-0.2255156163397371,0.12662188326328588,-0.7703256080017804,0.31929437532230615,0.017653210860624206,32.29713093089785,-2.5575909928584304,2.106559760178956,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG033,Lin seven-gene mortality score,secondary,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.23647093732673102,0.06209248421978689,-0.5036333340486117,0.030691459395149667,0.0,0.0,-1.0254307544170225,0.5524888797635603,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG034,Severe-or-Mild score,secondary,T24,T1,3,79,GSE54514;GSE57065;GSE95233,0.01905809441998341,0.09100833348523213,-0.3725191600753474,0.4106353489153142,0.0,0.0,-1.1373124235648648,1.1754286124048317,0.6666666666666666,increase,Formal REML random-effects point estimate with standard HK interval,,True
FIXED_THREE_LANDMARK_COHORTS,SIG034,Severe-or-Mild score,secondary,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.0672545262164431,0.11810436212425471,-0.5754165822993893,0.44090752986650306,0.017639316301417563,26.357233729229307,-2.3255284282192346,2.1910193757863485,0.3333333333333333,decrease,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG001,Sepsis MetaScore,diagnostic,T24,T1,3,79,GSE54514;GSE57065;GSE95233,-0.4023080310806767,0.029769107839680717,-0.5303941641876977,-0.27422189797365565,0.0,0.0,-0.7805604101125856,-0.02405565204876775,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG001,Sepsis MetaScore,diagnostic,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.894082625909292,0.10541037214758113,-1.3476268513683682,-0.44053840045021586,0.0009889235724778042,0.0,-2.291780748245425,0.5036154964268407,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG002,SeptiCyte LAB,diagnostic,T24,T1,2,48,GSE57065;GSE95233,-0.15966834211793038,,,,0.0,0.0,,,1.0,decrease,Descriptive two-cohort REML point estimate; formal HK interval suppressed,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG002,SeptiCyte LAB,diagnostic,T48,T2,2,57,GSE57065;GSE95233,-0.8324964336149887,,,,0.0,0.0,,,1.0,decrease,Descriptive two-cohort REML point estimate; formal HK interval suppressed,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG003,FAIM3:PLAC8 ratio,diagnostic,T24,T1,2,48,GSE57065;GSE95233,-0.2233552068496589,,,,0.0,0.0,,,1.0,decrease,Descriptive two-cohort REML point estimate; formal HK interval suppressed,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG003,FAIM3:PLAC8 ratio,diagnostic,T48,T2,2,57,GSE57065;GSE95233,-0.9993398689376938,,,,0.013285066628959221,19.037180765160322,,,1.0,decrease,Descriptive two-cohort REML point estimate; formal HK interval suppressed,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG004,sNIP,diagnostic,T24,T1,2,48,GSE57065;GSE95233,-0.11162681294252218,,,,0.0,0.0,,,1.0,decrease,Descriptive two-cohort REML point estimate; formal HK interval suppressed,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG004,sNIP,diagnostic,T48,T2,2,57,GSE57065;GSE95233,0.553099538916565,,,,0.0,0.0,,,1.0,increase,Descriptive two-cohort REML point estimate; formal HK interval suppressed,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG022,Bacterial/Viral MetaScore,secondary,T24,T1,3,79,GSE54514;GSE57065;GSE95233,-0.09115187678212773,0.12273866656344944,-0.619253735510618,0.43694998194636253,0.023239815093742115,56.04953637008991,-2.5779543371289924,2.395650583564737,0.6666666666666666,decrease,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG022,Bacterial/Viral MetaScore,secondary,T48,T2,3,85,GSE54514;GSE57065;GSE95233,0.07573808453303543,0.029383846962680184,-0.05069040480991416,0.20216657387598502,0.0,0.0,-0.29761909091876737,0.44909525998483824,1.0,increase,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG023,Herberg Disease Risk Score,secondary,T24,T1,3,79,GSE54514;GSE57065;GSE95233,0.07852135477159111,0.25631100258844963,-1.0242958801667565,1.1813385897099387,0.16782697203686173,85.65328668707144,-6.061643486638515,6.2186861961816975,0.6666666666666666,increase,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG023,Herberg Disease Risk Score,secondary,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.0069857263458612765,0.10407022606274292,-0.45476376859481665,0.44079231590309415,0.01115396229858667,28.532147730507567,-1.8909596123093673,1.8769881596176448,0.6666666666666666,decrease,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG033,Lin seven-gene mortality score,secondary,T24,T1,3,79,GSE54514;GSE57065;GSE95233,-0.2255156163397371,0.12662188326328588,-0.7703256080017804,0.31929437532230615,0.017653210860624206,32.29713093089785,-2.5575909928584304,2.106559760178956,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG033,Lin seven-gene mortality score,secondary,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.23647093732673102,0.06209248421978689,-0.5036333340486117,0.030691459395149667,0.0,0.0,-1.0254307544170225,0.5524888797635603,1.0,decrease,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG034,Severe-or-Mild score,secondary,T24,T1,3,79,GSE54514;GSE57065;GSE95233,0.01905809441998341,0.09100833348523213,-0.3725191600753474,0.4106353489153142,0.0,0.0,-1.1373124235648648,1.1754286124048317,0.6666666666666666,increase,Formal REML random-effects point estimate with standard HK interval,,True
SHARED_PRIMARY_ELIGIBLE_COHORTS,SIG034,Severe-or-Mild score,secondary,T48,T2,3,85,GSE54514;GSE57065;GSE95233,-0.0672545262164431,0.11810436212425471,-0.5754165822993893,0.44090752986650306,0.017639316301417563,26.357233729229307,-2.3255284282192346,2.1910193757863485,0.3333333333333333,decrease,Formal REML random-effects point estimate with standard HK interval,,True
